AoA,AoA_corr,AoS,dR,dE,V,AoA_round,AoS_round,V_round,CL_uncorrected,CL,CD_uncorrected,CD,CYaw,CMroll_uncorrected,CMroll,CMpitch_uncorrected,CMpitch,CMyaw_uncorrected,CMyaw
8.0,9.627135555898327,-10.0,-10,-10,19.995343532488548,8.0,-10.0,20.0,0.9826072339226818,0.9549901945303053,0.1287360159911116,0.11393985557825574,-0.1426860901222736,0.0358576543511634,0.027954072740599238,-0.1130675538827726,-0.07985066909624444,0.0479335422192496,0.03932511574746156
10.0,11.913064540565514,-10.0,-10,-10,19.98875823043545,10.0,-10.0,20.0,1.0871474849952452,1.073527047299639,0.1572937331998419,0.14159422424112772,-0.12785015362481927,0.0309563721390582,0.022550140244052257,-0.2527331792472261,-0.21404529020811244,0.0452254746811498,0.03715612178139092
12.0,14.1989935252327,-10.0,-10,-10,19.98917853748232,12.0,-10.0,20.0,1.1449582669788174,1.0953703304555515,0.1948715505660636,0.1828276684915456,-0.11302535655676639,0.0232946486897808,0.01432823236794601,-0.3672323488223802,-0.3263216110237068,0.0413274015404147,0.03347143550297333
-5.002,-5.23340284443838,-10.0,0,-10,19.99146684709908,-5.0,-10.0,20.0,-0.376868004647219,-0.3914603461930008,0.1146270422520028,0.08689537447552217,-0.1357300624692291,0.0342485320890803,0.028697751610446038,0.3605115913936612,0.3843278420161355,0.0330129750166244,0.02563172303523165
-2.5,-2.3739916136043977,-10.0,0,-10,19.99903106076334,-2.5,-10.0,20.0,-0.1054964968589119,-0.12230113448646988,0.1008477471357408,0.07219232836153432,-0.13042973407296404,0.0328384376996293,0.026699896415353655,0.2674012312266752,0.2979661204947702,0.0331887820992346,0.02529284297950595
0.002,0.4854196172295847,-10.0,0,-10,20.001732209997687,0.0,-10.0,20.0,0.174550108658016,0.153501186254757,0.0962016487297825,0.06800894903740479,-0.1283902870917325,0.0324060374449489,0.02589878814762163,0.1696204579324044,0.2050673811221115,0.0341979930259617,0.02608705633957464
0.002,0.4854196172295847,-10.0,0,-10,20.0032148697331,0.0,-10.0,20.0,0.1783730761978071,0.15726461752972967,0.0959363092515213,0.06775457666762351,-0.12639026321653055,0.031823015138503,0.02532919342487522,0.142874105889426,0.17885059802906708,0.0339997197012027,0.025894869483200748
0.005,0.48841961722958466,-10.0,0,-10,20.0071165668156,0.0,-10.0,20.0,0.174608003819691,0.1535561323458922,0.0962490564649138,0.06805464821239501,-0.12822855598195432,0.0321536356759999,0.02565092960854757,0.1710303874717555,0.20644776242606144,0.0342821898482312,0.026169324298837247
0.006,0.48941961722958466,-10.0,0,-10,20.032548490475424,0.0,-10.0,20.0,0.1775881712869542,0.1564960898875923,0.0958866556764409,0.06770645238950727,-0.12593305650620598,0.031640548056884,0.025150434368819627,0.1431951971388566,0.1791671115712,0.0339672604294221,0.025863255787066244
-0.005,0.4784196172295847,-10.0,0,-10,20.000897197266838,-0.0,-10.0,20.0,0.1741373246175327,0.15311733649546733,0.0956629869224174,0.06748970715611337,-0.12766866456984421,0.0324517940698204,0.02594720730591944,0.1669982315392535,0.2025232472993249,0.0339734253102119,0.02587033348607561
